,AC.MX,ALPEKA.MX,ALSEA.MX,AMXB.MX,ASURB.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CHDRAUIB.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,HERDEZ.MX,KIMBERA.MX,LABB.MX,LACOMERUBC.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,RA.MX,SIGMAFA.MX,TLEVISACPO.MX,VESTA.MX,VOLARA.MX,WALMEX.MX
AC.MX,0.0,1.3268058370761695,1.3008979748328453,1.353525100919273,1.2501388948240706,1.1948405264026323,1.3093181562571792,1.2588202989837545,1.2837647344211363,1.2127333372473472,1.2435839739260632,1.2171845397360215,1.2916083743448954,1.2809484753834763,1.219198948452598,1.236969522044032,1.281835025065257,1.2419598114910722,1.3073978233594041,1.240915371643707,1.3297159891528016,1.3078796450339556,1.226284025167821,1.3009734485395659,1.2486525282599217,1.286114794039399,1.2988217180808266,1.2083469705409422,1.3192963813186276,1.2660647076055491,1.263578933925551,1.3210653650768176,1.2815641430508278,1.3167956496147875,1.258384424443095
ALPEKA.MX,1.3268058370761695,0.0,1.2792076199445097,1.3631546697126575,1.280257625585414,1.273151019328482,1.3041894361098063,1.263834613344325,1.3129715619120919,1.2998244454560868,1.2659004797477658,1.2650178265414276,1.3210266611238994,1.2761952055977175,1.2452913970273847,1.2430785280837293,1.2990496071015225,1.334019715025399,1.336691125228233,1.3348176341363354,1.2895368003283614,1.3171938925031073,1.2657696943006378,1.3137452408342567,1.2816709953277992,1.2184836265716288,1.3041502604831303,1.29178312066643,1.3432326480521397,1.2804157823967481,1.1834201655383696,1.281495021498794,1.2670109376839054,1.291351064893921,1.3155176415898846
ALSEA.MX,1.3008979748328453,1.2792076199445097,0.0,1.3373025538211838,1.184179338333581,1.2984100974988757,1.267506888557931,1.2262785839257073,1.3002507248423485,1.2147450790517318,1.158027442855269,1.2677098313242432,1.2802907190125214,1.1918986703237642,1.2220806882026023,1.1539618467176167,1.2730483336522176,1.3222652182163117,1.2760457755084547,1.2386569302335801,1.2865914629906836,1.2801536654840733,1.212168913938274,1.3071596793924953,1.194844204497132,1.189460333278482,1.3177393183009094,1.2247346010759854,1.2641572929631524,1.1553090244999318,1.2664683937289158,1.2613831074535238,1.16915960138375,1.169180949022206,1.2818198339557332
AMXB.MX,1.353525100919273,1.3631546697126575,1.3373025538211838,0.0,1.3279703980030912,1.3675824128797753,1.3743546772322635,1.348721079423188,1.3324143505691888,1.3497552513522286,1.3358743558346418,1.3401380466741464,1.3461185668121165,1.3357204664223308,1.3207979177019746,1.3321786407331282,1.3338193295705782,1.3764534759592983,1.3736957785545638,1.3833401244110821,1.377856962430834,1.3859020543138985,1.3570236920478644,1.3600055561067466,1.3387232353951404,1.3569946849216028,1.3672868421208688,1.3347043459389694,1.3516649805148553,1.3709554380811,1.367862684232933,1.3227553611000102,1.352041631997817,1.3737065744243426,1.339855237702523
ASURB.MX,1.2501388948240706,1.280257625585414,1.184179338333581,1.3279703980030912,0.0,1.2522253886138237,1.2874738342335068,1.1729498626599173,1.2689648216653593,1.1827820213933826,0.8074731640205548,1.21669667334837,1.2828898214767877,1.2151642785955372,1.1886713383698067,1.1673638279494616,1.2353017469272014,1.2983814620471603,1.2874404968846591,1.275169137153756,1.3261110174871937,1.2721772605349817,1.2078952073183935,1.313009227120099,0.9026362302090216,1.2296355368724712,1.3048122135972904,1.1613328243072245,1.3036295243709173,1.2051772775693856,1.232104147501658,1.2070488287719852,1.2399986025581713,1.182528452244612,1.2565895891545356
BIMBOA.MX,1.1948405264026323,1.273151019328482,1.2984100974988757,1.3675824128797753,1.2522253886138237,0.0,1.3045163066675391,1.2382467798531653,1.2301396689179942,1.2336861677119084,1.2518544387764288,1.130289396094447,1.2822583129055753,1.3079739742066918,1.1301146606816845,1.1958379808710546,1.2359875914489555,1.1808460481440048,1.2915884460184093,1.2075663156183432,1.2877113084211271,1.2907975278698611,1.2241871114751603,1.3009853807567873,1.282390441462737,1.2291808680201703,1.2660371872361522,1.205235057437686,1.3297724540892724,1.2804941877220644,1.2474861152776693,1.2400027798783888,1.2550319809421615,1.3116731156152537,1.2483847145211808
BOLSAA.MX,1.3093181562571792,1.3041894361098063,1.267506888557931,1.3743546772322635,1.2874738342335068,1.3045163066675391,0.0,1.2824812800049874,1.2854097435353404,1.2993179296629387,1.264326461567892,1.2826093513835335,1.3204684172045957,1.282558050297236,1.2471881643146912,1.2558713154039935,1.261302567352536,1.3445974769792315,1.2872587104159645,1.290210969445121,1.3122632109411885,1.243695381056537,1.2717182237604079,1.2826085301504977,1.2675567431401584,1.267369783384583,1.2929760658159133,1.2392938052064602,1.257432812772966,1.211172416889106,1.2978677748131864,1.2982910884676018,1.2637403872797162,1.2771881761551445,1.310980355697878
CEMEXCPO.MX,1.2588202989837545,1.263834613344325,1.2262785839257073,1.348721079423188,1.1729498626599173,1.2382467798531653,1.2824812800049874,0.0,1.23367395748379,1.2289596690132554,1.170303911630311,1.2279990170423327,1.1684141146239975,1.2124392819184715,1.1614354911863178,1.1449356858405075,1.1545678697458932,1.305547671146418,1.2850832731279687,1.227339039827166,1.2938481688306438,1.2714758914855915,1.211565961223772,1.290983408541677,1.1798328379219885,1.1722768967846326,1.2704465465409147,1.2261016426450086,1.2964778484124113,1.221741722912133,1.205555470476848,1.1504652108673117,1.2544686555858593,1.2006021404624432,1.2645602985871405
CHDRAUIB.MX,1.2837647344211363,1.3129715619120919,1.3002507248423485,1.3324143505691888,1.2689648216653593,1.2301396689179942,1.2854097435353404,1.23367395748379,0.0,1.3077942265417144,1.2727508764734647,1.2325246675032562,1.2939163701461216,1.3096286699503354,1.203453072537957,1.2446638605533271,1.2832685725515365,1.3034148817637685,1.2727354056820637,1.2848983934538432,1.3335317025619833,1.2399094016494632,1.2388290432390643,1.3330817876361523,1.2867915657149096,1.2789459606493105,1.2920356558162183,1.2747435897353934,1.3149520728748514,1.25225770095473,1.2772194942503803,1.2669319570585647,1.279132053922669,1.3311754527563489,1.244884611557879
FEMSAUBD.MX,1.2127333372473472,1.2998244454560868,1.2147450790517318,1.3497552513522286,1.1827820213933826,1.2336861677119084,1.2993179296629387,1.2289596690132554,1.3077942265417144,0.0,1.202236306453142,1.2321780261652662,1.2735867543646664,1.2536765153199743,1.2196760331834942,1.1673527900215632,1.2604628708659151,1.2774294969413982,1.2928821176714989,1.2668613336705021,1.3157485033086043,1.3069973522172145,1.2137368293844155,1.3397615535074796,1.2011433270134424,1.2548999048094154,1.3201355362252791,1.2405020984926767,1.3064221913541556,1.2412021221281657,1.2685810921820013,1.2424883889549387,1.2337730265220468,1.2409688804569143,1.2428699646856816
