,AC.MX,ALPEKA.MX,ALSEA.MX,AMXB.MX,ASURB.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CHDRAUIB.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,HERDEZ.MX,KIMBERA.MX,LABB.MX,LACOMERUBC.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,RA.MX,SIGMAFA.MX,TLEVISACPO.MX,VESTA.MX,VOLARA.MX,WALMEX.MX
AC.MX,0.0,1.336568863301984,1.3016730717155451,1.3502916111818428,1.2440350398881004,1.209871604503457,1.311855554474268,1.2580887613312448,1.2981352277706142,1.2232689871683988,1.2506145178412207,1.2349617622285138,1.318027201919439,1.2996227565761946,1.2547840065869058,1.2692124558664597,1.281887675377818,1.2476468067162136,1.3164393882614185,1.2622568695759309,1.338507130297199,1.3111431547086705,1.2513626035777485,1.3181220716269724,1.2614826119600975,1.2955384033247106,1.3005994744347977,1.2292136737214128,1.323523558973061,1.290813356400547,1.2659767585799062,1.3216533500575003,1.2993438498908914,1.3206503796136704,1.2628268441109745
ALPEKA.MX,1.336568863301984,0.0,1.2872015410716109,1.3464143724081958,1.2888867621766442,1.2833400349137105,1.294915480360827,1.266062837986027,1.3101722458386071,1.298972723943395,1.2865352264679053,1.28176175649898,1.3272966890696714,1.299878955390888,1.264093515045009,1.261374081914259,1.2930775616288688,1.3299507563909734,1.3299904076018823,1.344850343743746,1.3192148715661884,1.3127238882565906,1.2802958321276015,1.3237799191804673,1.2927454369119022,1.2409904448675906,1.3080023532913723,1.3019212501999913,1.3439668125073467,1.2956477173463659,1.2153378547530223,1.2917231714022201,1.3089786311315554,1.311815416922366,1.3075672900818724
ALSEA.MX,1.3016730717155451,1.2872015410716109,0.0,1.3384818985726428,1.2136502325782728,1.2623398995768884,1.2832553412440995,1.2431198679518645,1.2747625752087215,1.2323840930171204,1.231534122886218,1.2420337192662299,1.2959597135323355,1.2557312156959264,1.2243090534316736,1.2121858682530924,1.2583230766747375,1.2930104833025948,1.299388008904475,1.2412730021350111,1.2848285711431289,1.3007580343985485,1.2327719312879075,1.3163684882565037,1.240331835594429,1.2550800985106865,1.2883070704214612,1.2378697189856929,1.2867987209858307,1.2158041520505176,1.2489045976676902,1.2520180945131287,1.2276238368568266,1.2603893046074248,1.289514813189328
AMXB.MX,1.3502916111818428,1.3464143724081958,1.3384818985726428,0.0,1.338933218667078,1.3514854031735988,1.3617992083559318,1.3499379886325393,1.3376816927966888,1.3554214390698605,1.353546201846044,1.3378584664014928,1.3608867570857277,1.3694026432323376,1.3302387529763515,1.339446027618039,1.3332096823216042,1.3531894085147276,1.3664578609776172,1.3621609706539224,1.3782961034562027,1.3662727663046335,1.351758197563775,1.3667961027077216,1.3495840766840175,1.3474020910180156,1.3528208660431102,1.3284360569296991,1.3400313165785185,1.3905606648420712,1.3448892004570439,1.3216120495992825,1.3402100452094532,1.3816158316722988,1.3424599480749324
ASURB.MX,1.2440350398881004,1.2888867621766442,1.2136502325782728,1.338933218667078,0.0,1.2466479669978459,1.2828923038138258,1.196781732903898,1.2804586206557333,1.1979145626424836,0.9044355054927644,1.2104183719483528,1.2982648258501797,1.2753301680021396,1.1971783683443975,1.2058434689640654,1.2354497471005097,1.2861576442437248,1.3064057365301547,1.2840984962694983,1.3157954911527865,1.2740174908392063,1.2337452973884977,1.3319217714504894,1.0029569905772133,1.234678633601784,1.2759343430496313,1.184334433575159,1.314975693713617,1.2424755026160648,1.2151750828375132,1.2061791971656957,1.2560086385334541,1.2106114811341657,1.2854608204889588
BIMBOA.MX,1.209871604503457,1.2833400349137105,1.2623398995768884,1.3514854031735988,1.2466479669978459,0.0,1.2975033549410826,1.235886965399156,1.238149550099469,1.2227996420545788,1.2454654482781602,1.1514796525470168,1.2999283306643012,1.2853809107810301,1.1446176627483382,1.2053067585417478,1.2313031316763412,1.1785765093830511,1.2852608430515235,1.2139003521005236,1.2969542184962048,1.2964565066004945,1.2315273842458716,1.326761226052893,1.2691516150200541,1.2226585195984525,1.2502643684821872,1.2102029138635237,1.3238467232677114,1.2793202116613334,1.2147034679804383,1.2375086320688682,1.2545430154689199,1.3174469153905242,1.2441128015271496
BOLSAA.MX,1.311855554474268,1.294915480360827,1.2832553412440995,1.3617992083559318,1.2828923038138258,1.2975033549410826,0.0,1.2848344417436073,1.2927100056961671,1.2910621704615772,1.26131279904561,1.2721025603893132,1.3051829737998397,1.291157159119109,1.2693229498555705,1.2668624708370115,1.2752434435810567,1.3345842517246695,1.2907206410230156,1.3031313740276806,1.2970461333122059,1.2824388864627834,1.2850331615589112,1.3003186279803327,1.2789422925251905,1.284034156615648,1.2907552080031828,1.254804954542084,1.2770465535940523,1.2428342183098915,1.3108030908976949,1.290946126102233,1.2923144103727435,1.305392985310526,1.3065657166306561
CEMEXCPO.MX,1.2580887613312448,1.266062837986027,1.2431198679518645,1.3499379886325393,1.196781732903898,1.235886965399156,1.2848344417436073,0.0,1.2464782893579696,1.2100225008624268,1.18762037383084,1.2307332476630364,1.18873994597637,1.2313465962009804,1.1825271607083727,1.173121174536232,1.1513289076872537,1.296022702530041,1.3000507642711934,1.2523557724932561,1.3039927984994737,1.2807066626149917,1.225121648787562,1.2985172439033348,1.210825426744518,1.1848596805414127,1.2558885969049813,1.2257008962519926,1.2916680032494023,1.2455469728828825,1.1972753405736125,1.1479676413416287,1.2525088601949639,1.2300411353572858,1.2553533882538892
CHDRAUIB.MX,1.2981352277706142,1.3101722458386071,1.2747625752087215,1.3376816927966888,1.2804586206557333,1.238149550099469,1.2927100056961671,1.2464782893579696,0.0,1.298828298325603,1.287518409906769,1.2435087786614722,1.3043030876354846,1.3158029113928407,1.2131466105597861,1.2779539306725838,1.2796765771525824,1.3026052802911632,1.2873903953640575,1.2886186856414328,1.31360632570927,1.2704569698480106,1.2581334697519215,1.3470987219142365,1.2940602282038145,1.26685788165014,1.3092300368950385,1.2815857091630007,1.3160356551796886,1.2680965939563853,1.2686391531251227,1.2774299277834196,1.2952647681693612,1.330405309022244,1.2694736725164208
FEMSAUBD.MX,1.2232689871683988,1.298972723943395,1.2323840930171204,1.3554214390698605,1.1979145626424836,1.2227996420545788,1.2910621704615772,1.2100225008624268,1.298828298325603,0.0,1.202464429355576,1.250967416618277,1.286639347770394,1.2829087929121001,1.2243451879913267,1.205621674129365,1.2605468193626894,1.2706073236508095,1.3137386623482818,1.283079561512332,1.3224296953065753,1.3078675771699622,1.2318356056034376,1.3444151063190224,1.2212455269171,1.2554067437783958,1.2989560930814488,1.2487886985554135,1.3110058803890585,1.2531704275461104,1.2448676873686677,1.2292871537775039,1.252084807698687,1.258126603384123,1.2316156931468254
