,AC.MX,ALPEKA.MX,ALSEA.MX,AMXB.MX,ASURB.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CHDRAUIB.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,HERDEZ.MX,KIMBERA.MX,LABB.MX,LACOMERUBC.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,RA.MX,SIGMAFA.MX,TLEVISACPO.MX,VESTA.MX,VOLARA.MX,WALMEX.MX
AC.MX,0.0,0.7928249671720918,0.7822626800138783,0.7991858424984202,0.7757630554905374,0.7599847719041617,0.7980536902902555,0.7743631811670781,0.7852620760159841,0.7623604725156266,0.7694435649469923,0.7649652215853224,0.7932810068803074,0.7871021771354443,0.768502924540385,0.7689733885725374,0.7706177508352314,0.768502924540385,0.7960117585253808,0.7785552530794775,0.794419960814838,0.795772441617894,0.7722586117823297,0.7898542910467671,0.7741296226694818,0.7694435649469923,0.7769276906688478,0.7614110817705755,0.787014380415624,0.7875615306482168,0.7713214043839051,0.7898542910467671,0.7882500590011844,0.7909981791059986,0.7696785454273357
ALPEKA.MX,0.7928249671720918,0.0,0.7861826649323582,0.794875085435853,0.7891671623468518,0.7838791655045538,0.7850317601066407,0.7722586117823297,0.7884794348416283,0.7854923243939026,0.784801376606417,0.7843404065950711,0.7935089284499811,0.7859526187928517,0.7741296226694818,0.7734285239994615,0.7838791655045538,0.7905408225027976,0.7982802491848949,0.800768166462385,0.7750634343752812,0.7844450379102343,0.779715717657188,0.7829558681694034,0.7932810068803074,0.7580788509804224,0.7939645753026032,0.7935089284499811,0.7874973595224005,0.7884794348416283,0.7680321723219146,0.7861826649323582,0.7880206163943732,0.7916837186070041,0.7852620760159841
ALSEA.MX,0.7822626800138783,0.7861826649323582,0.0,0.7932810068803074,0.7614110817705755,0.7663822624199355,0.7875615306482168,0.776229119248705,0.7891671623468518,0.7666181812380278,0.7649652215853224,0.7731946831705341,0.7792517392063093,0.7680321723219146,0.7689733885725374,0.758317353063083,0.7692085126840014,0.7887087439739567,0.7951025500521662,0.7661462709555504,0.7813374724991013,0.7780807834976836,0.7633086824250469,0.7822626800138783,0.7614110817705755,0.7675611313868839,0.779715717657188,0.7701482913028795,0.7855636614302471,0.7587941323324833,0.76520157729051,0.7670898012034233,0.7682675844875416,0.7766949033405757,0.7750634343752812
AMXB.MX,0.7991858424984202,0.794875085435853,0.7932810068803074,0.0,0.7982802491848949,0.7998643646321033,0.801445348965192,0.8142048118180728,0.8061696993107588,0.8003163931308194,0.8052719599461958,0.7989595404005804,0.7960117585253808,0.8070664400766586,0.8045979980817619,0.8059453582185311,0.8030232206776831,0.8081859668182969,0.8144268777738775,0.7998643646321033,0.8104203807222855,0.7937704951970349,0.8012196850584337,0.8081859668182969,0.800768166462385,0.794875085435853,0.8012196850584337,0.79646597354581,0.7973339606883179,0.8088569390939501,0.8025727167316073,0.7914552714175396,0.8039234712077826,0.8072904696271433,0.8072904696271433
ASURB.MX,0.7757630554905374,0.7891671623468518,0.7614110817705755,0.7982802491848949,0.0,0.7675611313868839,0.7787874843309002,0.7540127732380588,0.7852620760159841,0.7599847719041617,0.6656109784878435,0.757601621565181,0.7896253145841944,0.7818002131215428,0.7508885634498041,0.7585557801568736,0.7606982611289639,0.779483762953957,0.79555728417573,0.7829558681694034,0.7912267582695925,0.7757768708727182,0.7701482913028795,0.7921404153387326,0.6997803840456787,0.7729607715986496,0.7745966692414834,0.7549714675518273,0.7848372963545052,0.7724927359689371,0.7687381925466743,0.758317353063083,0.7783229525363147,0.758317353063083,0.7806428472565896
BIMBOA.MX,0.7599847719041617,0.7838791655045538,0.7663822624199355,0.7998643646321033,0.7675611313868839,0.0,0.7811059993870748,0.763545550912494,0.7670898012034233,0.7642557158940145,0.7689733885725374,0.7467833371347151,0.7829558681694034,0.7804111681159314,0.7436287549144559,0.759746793263004,0.7673255024845129,0.7542525610556129,0.7811059993870748,0.7535329686885256,0.7790196463525518,0.775263960488798,0.7687381925466743,0.7916837186070041,0.776229119248705,0.7623604725156266,0.7663822624199355,0.7640190675787285,0.7821681866730109,0.7764620462214642,0.763545550912494,0.7604605057672794,0.7745966692414834,0.7905408225027976,0.7609359422036996
BOLSAA.MX,0.7980536902902555,0.7850317601066407,0.7875615306482168,0.801445348965192,0.7787874843309002,0.7811059993870748,0.0,0.7792517392063093,0.783186794547576,0.7834176528560676,0.7752967115617146,0.776229119248705,0.7838791655045538,0.7764620462214642,0.7787874843309002,0.7689733885725374,0.7811059993870748,0.7907695338695102,0.7834176528560676,0.781568877056966,0.7829558681694034,0.7900031721032355,0.772024416595206,0.7861826649323582,0.7834176528560676,0.7838791655045538,0.7820314807536155,0.7801794201767113,0.7821681866730109,0.7741296226694818,0.7875615306482168,0.7820314807536155,0.7845709254557707,0.7827248736613021,0.7843404065950711
CEMEXCPO.MX,0.7743631811670781,0.7722586117823297,0.776229119248705,0.8142048118180728,0.7540127732380588,0.763545550912494,0.7792517392063093,0.0,0.7687381925466743,0.7637823459409538,0.7475094270846825,0.756407230752177,0.7580788509804224,0.7703830568292296,0.7537729091399779,0.7518512414905772,0.7441149457182201,0.7834176528560676,0.7790196463525518,0.7766949033405757,0.7790196463525518,0.7801229937910608,0.7642557158940145,0.7731946831705341,0.759746793263004,0.7428988721065709,0.7656740698191953,0.7682675844875416,0.7848372963545052,0.7680321723219146,0.7573628940906656,0.7353143279851995,0.7682675844875416,0.7675611313868839,0.7644922909549027
CHDRAUIB.MX,0.7852620760159841,0.7884794348416283,0.7891671623468518,0.8061696993107588,0.7852620760159841,0.7670898012034233,0.783186794547576,0.7687381925466743,0.0,0.779483762953957,0.7727267892195642,0.7633086824250469,0.7907695338695102,0.7822626800138783,0.7561681262003671,0.7811059993870748,0.7850317601066407,0.7834176528560676,0.7776256345353062,0.7818002131215428,0.7820314807536155,0.7755204580840671,0.7752967115617146,0.7980536902902555,0.7864126437773922,0.7703830568292296,0.7841098199646008,0.7757630554905374,0.7908699546519028,0.7701482913028795,0.7694435649469923,0.7838791655045538,0.7778581433264298,0.794875085435853,0.7827248736613021
FEMSAUBD.MX,0.7623604725156266,0.7854923243939026,0.7666181812380278,0.8003163931308194,0.7599847719041617,0.7642557158940145,0.7834176528560676,0.7637823459409538,0.779483762953957,0.0,0.7525724418880423,0.7745966692414834,0.7813374724991013,0.7764620462214642,0.7616485404015693,0.7540127732380588,0.7785552530794775,0.7773930562036393,0.7905408225027976,0.7857225052997647,0.7989595404005804,0.7798680099653932,0.7633086824250469,0.794419960814838,0.7544922726653694,0.7743631811670781,0.783186794547576,0.7706177508352314,0.7853216143866242,0.763545550912494,0.7703830568292296,0.7647287928293784,0.7824938109629356,0.7717901503429319,0.763545550912494
GAPB.MX,0.7694435649469923,0.784801376606417,0.7649652215853224,0.8052719599461958,0.6656109784878435,0.7689733885725374,0.7752967115617146,0.7475094270846825,0.7727267892195642,0.7525724418880423,0.0,0.7616485404015693,0.7748300869563616,0.7670898012034233,0.7494422277953741,0.7549714675518273,0.7571240913434111,0.7736622941495781,0.794419960814838,0.7759961223593952,0.7850317601066407,0.7726943015781393,0.7696785454273357,0.7845709254557707,0.6833065020680948,0.7623604725156266,0.7748300869563616,0.7446008190613514,0.7865311047296377,0.7675611313868839,0.758317353063083,0.7587941323324833,0.7618859250233224,0.7530528584335476,0.7710869245473928
GCARSOA1.MX,0.7649652215853224,0.7843404065950711,0.7731946831705341,0.7989595404005804,0.757601621565181,0.7467833371347151,0.776229119248705,0.756407230752177,0.7633086824250469,0.7745966692414834,0.7616485404015693,0.0,0.7703830568292296,0.758317353063083,0.7173892792191121,0.7604605057672794,0.7525724418880423,0.7755299185790395,0.7755299185790395,0.763545550912494,0.7748300869563616,0.7806327115806876,0.7625976355241685,0.7896253145841944,0.7703830568292296,0.7470254455337276,0.7568852132521701,0.7552109509734103,0.7802212808865758,0.765910206777722,0.7590324096604895,0.7661462709555504,0.7699134541907565,0.7771604082689956,0.7661462709555504
GCC.MX,0.7932810068803074,0.7935089284499811,0.7792517392063093,0.7960117585253808,0.7896253145841944,0.7829558681694034,0.7838791655045538,0.7580788509804224,0.7907695338695102,0.7813374724991013,0.7748300869563616,0.7703830568292296,0.0,0.7710869245473928,0.781568877056966,0.7806428472565896,0.7633086824250469,0.7991858424984202,0.7923686649949143,0.788937986456337,0.801445348965192,0.788238926096752,0.7829558681694034,0.7755299185790395,0.7829558681694034,0.7668540274768755,0.8003163931308194,0.7766949033405757,0.7930304776003516,0.7799476033776029,0.7787874843309002,0.7654378600126122,0.7677966879771728,0.7820314807536155,0.7873318873919429
GENTERA.MX,0.7871021771354443,0.7859526187928517,0.7680321723219146,0.8070664400766586,0.7818002131215428,0.7804111681159314,0.7764620462214642,0.7703830568292296,0.7822626800138783,0.7764620462214642,0.7670898012034233,0.758317353063083,0.7710869245473928,0.0,0.7606982611289639,0.76520157729051,0.7820314807536155,0.7834176528560676,0.7861826649323582,0.7696785454273357,0.7804111681159314,0.786723566298412,0.7623604725156266,0.783186794547576,0.7694435649469923,0.7677966879771728,0.7806428472565896,0.7696785454273357,0.787014380415624,0.7642557158940145,0.7694435649469923,0.7873318873919429,0.7708523733862105,0.7757630554905374,0.7808744576599226
GFINBURO.MX,0.768502924540385,0.7741296226694818,0.7689733885725374,0.8045979980817619,0.7508885634498041,0.7436287549144559,0.7787874843309002,0.7537729091399779,0.7561681262003671,0.7616485404015693,0.7494422277953741,0.7173892792191121,0.781568877056966,0.7606982611289639,0.0,0.7296361400902911,0.7525724418880423,0.7647287928293784,0.7736622941495781,0.7625976355241685,0.772024416595206,0.771921735844311,0.7590324096604895,0.7769276906688478,0.7573628940906656,0.7489594952314094,0.7530528584335476,0.7496834775128075,0.769425245963164,0.7532929518107412,0.7520917184650587,0.7540127732380588,0.7656740698191953,0.7722586117823297,0.7637823459409538
