Ticker,Acquisition_method,Source_tickers,Note
GENTERA.MX,Yahoo bulk,GENTERA.MX,
WALMEX.MX,Yahoo bulk,WALMEX.MX,
HERDEZ.MX,Yahoo bulk,HERDEZ.MX,
PE&OLES.MX,Yahoo bulk,PE&OLES.MX,
VOLARA.MX,Yahoo bulk,VOLARA.MX,
GFINBURO.MX,Yahoo bulk,GFINBURO.MX,
KIMBERA.MX,Yahoo bulk,KIMBERA.MX,
TLEVISACPO.MX,Yahoo bulk,TLEVISACPO.MX,
AC.MX,Yahoo bulk,AC.MX,
AMXB.MX,Yahoo bulk,AMXB.MX,
GCC.MX,Yahoo bulk,GCC.MX,
ALPEKA.MX,Yahoo bulk,ALPEKA.MX,
GFNORTEO.MX,Yahoo bulk,GFNORTEO.MX,
RA.MX,Yahoo bulk,RA.MX,
GAPB.MX,Yahoo bulk,GAPB.MX,
VESTA.MX,Yahoo bulk,VESTA.MX,
BBAJIOO.MX,Yahoo bulk,BBAJIOO.MX,
BOLSAA.MX,Yahoo bulk,BOLSAA.MX,
ALSEA.MX,Yahoo bulk,ALSEA.MX,
LIVEPOLC-1.MX,Yahoo bulk,LIVEPOLC-1.MX,
PINFRA.MX,Yahoo bulk,PINFRA.MX,
ASURB.MX,Yahoo bulk,ASURB.MX,
LABB.MX,Yahoo bulk,LABB.MX,
GCARSOA1.MX,Yahoo bulk,GCARSOA1.MX,
BIMBOA.MX,Yahoo bulk,BIMBOA.MX,
FEMSAUBD.MX,Yahoo bulk,FEMSAUBD.MX,
ORBIA.MX,Yahoo bulk,ORBIA.MX,
CHDRAUIB.MX,Yahoo bulk,CHDRAUIB.MX,
Q.MX,Yahoo bulk,Q.MX,
MEGACPO.MX,Yahoo bulk,MEGACPO.MX,
OMAB.MX,Yahoo bulk,OMAB.MX,
SIGMAFA.MX,Yahoo bulk,SIGMAFA.MX,
GRUMAB.MX,Yahoo bulk,GRUMAB.MX,
CEMEXCPO.MX,Yahoo bulk,CEMEXCPO.MX,
GMEXICOB.MX,Yahoo bulk,GMEXICOB.MX,
LACOMERUBC.MX,Yahoo bulk,LACOMERUBC.MX,
ELEKTRA.MX,FAILED,,No data from any source
KOFUBL.MX,Yahoo individual fallback (splice failed),KOFUBL.MX,Chain-link splice failed; using TRUNCATED single-ticker history -- may not meet the coverage threshold despite the issuer's longer true history. Check Coverage in ticker_coverage.csv before trusting an 'excluded by coverage' verdict for this ticker.
