Ticker_i,Ticker_j,Sector_i,Sector_j,Observed_weight,Bootstrap_support,N_valid_replicas
AMXB.MX,GFINBURO.MX,Telecom,Financial,1.320798,0.261,1000
GAPB.MX,GFNORTEO.MX,Airports,Financial,1.145292,0.283,1000
GFINBURO.MX,LACOMERUBC.MX,Financial,Consumer,1.232531,0.299,1000
GENTERA.MX,GFNORTEO.MX,Financial,Financial,1.162386,0.307,1000
HERDEZ.MX,LIVEPOLC-1.MX,Consumer,Retail,1.245559,0.312,1000
GFNORTEO.MX,ORBIA.MX,Financial,Materials,1.162087,0.339,1000
ALSEA.MX,GFNORTEO.MX,Consumer,Financial,1.153962,0.392,1000
GFINBURO.MX,KIMBERA.MX,Financial,Consumer,1.200682,0.479,1000
BIMBOA.MX,GFINBURO.MX,Consumer,Financial,1.130115,0.48,1000
GFINBURO.MX,LABB.MX,Financial,Health Care,1.264038,0.483,1000
GFINBURO.MX,LIVEPOLC-1.MX,Financial,Retail,1.15465,0.513,1000
GFNORTEO.MX,VESTA.MX,Financial,Real Estate,1.165701,0.54,1000
MEGACPO.MX,TLEVISACPO.MX,Telecom,Telecom,1.240366,0.56,1000
Q.MX,RA.MX,Financial,Financial,1.23834,0.572,1000
AC.MX,BIMBOA.MX,Consumer,Consumer,1.194841,0.59,1000
GAPB.MX,VOLARA.MX,Airports,Transport,1.148163,0.6,1000
FEMSAUBD.MX,GFNORTEO.MX,Consumer,Financial,1.167353,0.705,1000
CEMEXCPO.MX,GFNORTEO.MX,Materials,Financial,1.144936,0.717,1000
GFINBURO.MX,SIGMAFA.MX,Financial,Consumer,1.148322,0.753,1000
CHDRAUIB.MX,GFINBURO.MX,Consumer,Financial,1.203453,0.769,1000
GAPB.MX,PINFRA.MX,Airports,Infrastructure,1.133849,0.797,1000
BOLSAA.MX,RA.MX,Financial,Financial,1.211172,0.82,1000
ALPEKA.MX,SIGMAFA.MX,Materials,Consumer,1.18342,0.904,1000
CEMEXCPO.MX,GMEXICOB.MX,Materials,Materials,1.154568,0.916,1000
GFNORTEO.MX,WALMEX.MX,Financial,Consumer,1.182454,0.931,1000
CEMEXCPO.MX,TLEVISACPO.MX,Materials,Telecom,1.150465,0.962,1000
GFINBURO.MX,GFNORTEO.MX,Financial,Financial,1.084686,0.989,1000
BIMBOA.MX,GRUMAB.MX,Consumer,Consumer,1.180846,0.993,1000
CEMEXCPO.MX,GCC.MX,Materials,Materials,1.168414,0.998,1000
GFNORTEO.MX,RA.MX,Financial,Financial,1.090926,0.998,1000
GAPB.MX,OMAB.MX,Airports,Airports,0.83958,1.0,1000
ASURB.MX,GAPB.MX,Airports,Airports,0.807473,1.0,1000
GMEXICOB.MX,PE&OLES.MX,Materials,Materials,1.144052,1.0,1000
GCARSOA1.MX,GFINBURO.MX,Conglomerate,Financial,1.01673,1.0,1000
