Ticker_i,Ticker_j,Sector_i,Sector_j,Observed_weight,Bootstrap_support,N_valid_replicas
GFINBURO.MX,LACOMERUBC.MX,Financial,Consumer,1.256478,0.288,1000
ALSEA.MX,GFNORTEO.MX,Consumer,Financial,1.212186,0.306,1000
Q.MX,RA.MX,Financial,Financial,1.275356,0.306,1000
GFINBURO.MX,ORBIA.MX,Financial,Materials,1.180447,0.333,1000
GFINBURO.MX,PINFRA.MX,Financial,Infrastructure,1.181628,0.333,1000
ASURB.MX,FEMSAUBD.MX,Airports,Consumer,1.197915,0.349,1000
AMXB.MX,TLEVISACPO.MX,Telecom,Telecom,1.321612,0.378,1000
CEMEXCPO.MX,GFNORTEO.MX,Materials,Financial,1.173121,0.452,1000
GFINBURO.MX,LIVEPOLC-1.MX,Financial,Retail,1.200835,0.47,1000
GFINBURO.MX,LABB.MX,Financial,Health Care,1.272423,0.514,1000
GENTERA.MX,GFNORTEO.MX,Financial,Financial,1.206427,0.524,1000
GAPB.MX,VOLARA.MX,Airports,Transport,1.203762,0.545,1000
MEGACPO.MX,TLEVISACPO.MX,Telecom,Telecom,1.265122,0.559,1000
BIMBOA.MX,KIMBERA.MX,Consumer,Consumer,1.2139,0.563,1000
GFNORTEO.MX,VESTA.MX,Financial,Real Estate,1.215594,0.577,1000
HERDEZ.MX,LACOMERUBC.MX,Consumer,Consumer,1.253247,0.588,1000
BOLSAA.MX,RA.MX,Financial,Financial,1.242834,0.635,1000
AC.MX,BIMBOA.MX,Consumer,Consumer,1.209872,0.637,1000
BIMBOA.MX,GFINBURO.MX,Consumer,Financial,1.144618,0.64,1000
GFINBURO.MX,SIGMAFA.MX,Financial,Consumer,1.170372,0.73,1000
GFNORTEO.MX,WALMEX.MX,Financial,Consumer,1.205262,0.831,1000
GAPB.MX,PINFRA.MX,Airports,Infrastructure,1.162693,0.87,1000
CHDRAUIB.MX,GFINBURO.MX,Consumer,Financial,1.213147,0.871,1000
ALPEKA.MX,SIGMAFA.MX,Materials,Consumer,1.215338,0.89,1000
GFNORTEO.MX,RA.MX,Financial,Financial,1.163993,0.957,1000
CEMEXCPO.MX,GMEXICOB.MX,Materials,Materials,1.151329,0.983,1000
GAPB.MX,OMAB.MX,Airports,Airports,0.956993,0.993,1000
GMEXICOB.MX,PE&OLES.MX,Materials,Materials,1.150868,0.995,1000
GFINBURO.MX,GFNORTEO.MX,Financial,Financial,1.122006,0.999,1000
CEMEXCPO.MX,TLEVISACPO.MX,Materials,Telecom,1.147968,0.999,1000
CEMEXCPO.MX,GCC.MX,Materials,Materials,1.18874,1.0,1000
BIMBOA.MX,GRUMAB.MX,Consumer,Consumer,1.178577,1.0,1000
GCARSOA1.MX,GFINBURO.MX,Conglomerate,Financial,1.050707,1.0,1000
ASURB.MX,GAPB.MX,Airports,Airports,0.904436,1.0,1000
