Ticker_i,Ticker_j,Sector_i,Sector_j,Observed_weight,Bootstrap_support,N_valid_replicas
GMEXICOB.MX,LACOMERUBC.MX,Materials,Consumer,0.771406,0.118,1000
ALSEA.MX,GFNORTEO.MX,Consumer,Financial,0.758317,0.227,1000
AMXB.MX,TLEVISACPO.MX,Telecom,Telecom,0.791455,0.24,1000
GFINBURO.MX,LIVEPOLC-1.MX,Financial,Retail,0.759032,0.241,1000
HERDEZ.MX,LACOMERUBC.MX,Consumer,Consumer,0.771922,0.279,1000
MEGACPO.MX,ORBIA.MX,Telecom,Materials,0.771321,0.289,1000
GFINBURO.MX,LABB.MX,Financial,Health Care,0.772024,0.32,1000
PINFRA.MX,SIGMAFA.MX,Infrastructure,Consumer,0.751851,0.321,1000
GFNORTEO.MX,VESTA.MX,Financial,Real Estate,0.759509,0.34,1000
BOLSAA.MX,GFNORTEO.MX,Financial,Financial,0.768973,0.355,1000
AC.MX,BIMBOA.MX,Consumer,Consumer,0.759985,0.361,1000
GCARSOA1.MX,ORBIA.MX,Conglomerate,Materials,0.747025,0.368,1000
FEMSAUBD.MX,GAPB.MX,Consumer,Airports,0.752572,0.384,1000
CEMEXCPO.MX,GAPB.MX,Materials,Airports,0.747509,0.386,1000
GCARSOA1.MX,GENTERA.MX,Conglomerate,Financial,0.758317,0.423,1000
GFINBURO.MX,Q.MX,Financial,Financial,0.769425,0.509,1000
CEMEXCPO.MX,GCC.MX,Materials,Materials,0.758079,0.581,1000
GFNORTEO.MX,RA.MX,Financial,Financial,0.749925,0.59,1000
CEMEXCPO.MX,ORBIA.MX,Materials,Materials,0.742899,0.62,1000
GAPB.MX,PINFRA.MX,Airports,Infrastructure,0.744601,0.62,1000
CEMEXCPO.MX,GMEXICOB.MX,Materials,Materials,0.744115,0.624,1000
BIMBOA.MX,GFINBURO.MX,Consumer,Financial,0.743629,0.645,1000
CHDRAUIB.MX,GFINBURO.MX,Consumer,Financial,0.756168,0.712,1000
GAPB.MX,VOLARA.MX,Airports,Transport,0.753053,0.741,1000
GFNORTEO.MX,WALMEX.MX,Financial,Consumer,0.752332,0.746,1000
BIMBOA.MX,KIMBERA.MX,Consumer,Consumer,0.753533,0.767,1000
ALPEKA.MX,ORBIA.MX,Materials,Materials,0.758079,0.822,1000
BIMBOA.MX,GRUMAB.MX,Consumer,Consumer,0.754253,0.856,1000
GMEXICOB.MX,PE&OLES.MX,Materials,Materials,0.741437,0.937,1000
GAPB.MX,OMAB.MX,Airports,Airports,0.683307,0.977,1000
CEMEXCPO.MX,TLEVISACPO.MX,Materials,Telecom,0.735314,0.978,1000
GFINBURO.MX,GFNORTEO.MX,Financial,Financial,0.729636,0.995,1000
GCARSOA1.MX,GFINBURO.MX,Conglomerate,Financial,0.717389,1.0,1000
ASURB.MX,GAPB.MX,Airports,Airports,0.665611,1.0,1000
