Date,Method,Window,Mode,Hub_ticker,Hub_degree,Hub_tied,Hub_sector,N_nodes,Is_dominant_hub
2016-06-08,mantegna,120,,CEMEXCPO.MX,5,True,Materials,35,False
2016-06-09,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-06-10,mantegna,120,,CEMEXCPO.MX,6,True,Materials,35,False
2016-06-13,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-06-14,mantegna,120,,CEMEXCPO.MX,5,True,Materials,35,False
2016-06-15,mantegna,120,,CEMEXCPO.MX,5,True,Materials,35,False
2016-06-16,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-06-17,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-06-20,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-06-21,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-06-22,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-06-23,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-06-24,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-06-27,mantegna,120,,CEMEXCPO.MX,6,True,Materials,35,False
2016-06-28,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-06-29,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-06-30,mantegna,120,,CEMEXCPO.MX,7,False,Materials,35,False
2016-07-01,mantegna,120,,CEMEXCPO.MX,6,True,Materials,35,False
2016-07-04,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-07-05,mantegna,120,,CEMEXCPO.MX,7,False,Materials,35,False
2016-07-06,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-07-07,mantegna,120,,LIVEPOLC-1.MX,6,True,Retail,35,False
2016-07-08,mantegna,120,,LIVEPOLC-1.MX,6,True,Retail,35,False
2016-07-11,mantegna,120,,LIVEPOLC-1.MX,6,True,Retail,35,False
2016-07-12,mantegna,120,,CEMEXCPO.MX,6,False,Materials,35,False
2016-07-13,mantegna,120,,CEMEXCPO.MX,5,True,Materials,35,False
2016-07-14,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-07-15,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-07-18,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-07-19,mantegna,120,,GFNORTEO.MX,5,True,Financial,35,False
2016-07-20,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-07-21,mantegna,120,,GENTERA.MX,5,True,Financial,35,False
2016-07-22,mantegna,120,,GFNORTEO.MX,5,True,Financial,35,False
2016-07-25,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-07-26,mantegna,120,,ASURB.MX,5,True,Airports,35,False
2016-07-27,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-07-28,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-07-29,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-08-01,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-08-02,mantegna,120,,LIVEPOLC-1.MX,6,False,Retail,35,False
2016-08-03,mantegna,120,,LIVEPOLC-1.MX,5,False,Retail,35,False
2016-08-04,mantegna,120,,CEMEXCPO.MX,4,True,Materials,35,False
2016-08-05,mantegna,120,,CEMEXCPO.MX,4,True,Materials,35,False
2016-08-08,mantegna,120,,GFINBURO.MX,5,False,Financial,35,True
2016-08-09,mantegna,120,,LIVEPOLC-1.MX,6,False,Retail,35,False
2016-08-10,mantegna,120,,GFNORTEO.MX,5,True,Financial,35,False
2016-08-11,mantegna,120,,LIVEPOLC-1.MX,6,False,Retail,35,False
2016-08-12,mantegna,120,,GFINBURO.MX,5,True,Financial,35,True
2016-08-15,mantegna,120,,GFNORTEO.MX,5,True,Financial,35,False
2016-08-16,mantegna,120,,LIVEPOLC-1.MX,6,False,Retail,35,False
2016-08-17,mantegna,120,,LIVEPOLC-1.MX,6,False,Retail,35,False
2016-08-18,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-08-19,mantegna,120,,LIVEPOLC-1.MX,5,False,Retail,35,False
2016-08-22,mantegna,120,,LIVEPOLC-1.MX,5,False,Retail,35,False
2016-08-23,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-08-24,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-08-25,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-08-26,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-08-29,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-08-30,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-08-31,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-09-01,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-09-02,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-09-05,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-09-06,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-09-07,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-09-08,mantegna,120,,GFNORTEO.MX,7,False,Financial,35,False
2016-09-09,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-09-12,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-09-13,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-09-14,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-09-15,mantegna,120,,GFNORTEO.MX,5,True,Financial,35,False
2016-09-19,mantegna,120,,GFNORTEO.MX,5,False,Financial,35,False
2016-09-20,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-09-21,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-09-22,mantegna,120,,GFNORTEO.MX,5,True,Financial,35,False
2016-09-23,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-09-26,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-09-27,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
2016-09-28,mantegna,120,,GFNORTEO.MX,6,False,Financial,35,False
