Method,Window,Rank,Hub,Windows,Pct,Sector
mantegna,120,1,GFINBURO.MX,576,23.93,Financial
mantegna,120,2,GFNORTEO.MX,471,19.57,Financial
mantegna,120,3,CEMEXCPO.MX,201,8.35,Materials
mantegna,120,4,GAPB.MX,130,5.4,Airports
mantegna,120,5,SIGMAFA.MX,117,4.86,Consumer
mantegna,240,1,GFINBURO.MX,862,37.49,Financial
mantegna,240,2,GFNORTEO.MX,496,21.57,Financial
mantegna,240,3,CEMEXCPO.MX,255,11.09,Materials
mantegna,240,4,GCARSOA1.MX,149,6.48,Conglomerate
mantegna,240,5,SIGMAFA.MX,84,3.65,Consumer
mantegna,480,1,GFINBURO.MX,795,38.17,Financial
mantegna,480,2,GFNORTEO.MX,646,31.01,Financial
mantegna,480,3,CEMEXCPO.MX,247,11.86,Materials
mantegna,480,4,GAPB.MX,126,6.05,Airports
mantegna,480,5,ALSEA.MX,87,4.18,Consumer
spearman,120,1,GFINBURO.MX,623,25.88,Financial
spearman,120,2,CEMEXCPO.MX,309,12.84,Materials
spearman,120,3,GCARSOA1.MX,227,9.43,Conglomerate
spearman,120,4,GFNORTEO.MX,192,7.98,Financial
spearman,120,5,LIVEPOLC-1.MX,140,5.82,Retail
spearman,240,1,GFINBURO.MX,754,32.8,Financial
spearman,240,2,CEMEXCPO.MX,478,20.79,Materials
spearman,240,3,GFNORTEO.MX,250,10.87,Financial
spearman,240,4,GCARSOA1.MX,231,10.05,Conglomerate
spearman,240,5,BIMBOA.MX,143,6.22,Consumer
spearman,480,1,GFINBURO.MX,681,32.69,Financial
spearman,480,2,GFNORTEO.MX,328,15.75,Financial
spearman,480,3,BIMBOA.MX,308,14.79,Consumer
spearman,480,4,CEMEXCPO.MX,203,9.75,Materials
spearman,480,5,LIVEPOLC-1.MX,187,8.98,Retail
symbolic,120,1,GAPB.MX,434,18.03,Airports
symbolic,120,2,GCARSOA1.MX,350,14.54,Conglomerate
symbolic,120,3,GFINBURO.MX,260,10.8,Financial
symbolic,120,4,GFNORTEO.MX,207,8.6,Financial
symbolic,120,5,CEMEXCPO.MX,206,8.56,Materials
symbolic,240,1,GAPB.MX,590,25.66,Airports
symbolic,240,2,GFINBURO.MX,530,23.05,Financial
symbolic,240,3,GCARSOA1.MX,275,11.96,Conglomerate
symbolic,240,4,CEMEXCPO.MX,227,9.87,Materials
symbolic,240,5,GFNORTEO.MX,225,9.79,Financial
symbolic,480,1,GFINBURO.MX,533,25.59,Financial
symbolic,480,2,GAPB.MX,377,18.1,Airports
symbolic,480,3,GCARSOA1.MX,289,13.87,Conglomerate
symbolic,480,4,GFNORTEO.MX,216,10.37,Financial
symbolic,480,5,CEMEXCPO.MX,188,9.03,Materials
