period_start,period_end,n_add,n_drop,tickers_added,tickers_dropped,n_tickers,spans_gap
2015-09-01,2015-12-21,1,0,SITESL.MX,,36,False
2015-12-21,2016-01-04,1,0,LACOMERUBC.MX,,37,False
2016-01-04,2016-01-11,1,1,NEMAKA.MX,COMERCIUBC.MX,37,False
2016-01-11,2016-06-27,2,2,"ALPEKA.MX, VOLARA.MX","ICHB.MX, SIMECB.MX",37,False
2016-06-27,2016-09-01,1,3,BOLSAA.MX,"ICA.MX, LACOMERUBC.MX, SITESL.MX",35,False
2016-09-01,2017-09-18,2,2,"CUERVO.MX, MEGACPO.MX","BOLSAA.MX, OHLMEX.MX",35,True
2017-09-18,2018-03-20,2,2,"BSMXB.MX, GMXT.MX","LABB.MX, SANMEXB.MX",35,False
2018-03-20,2018-09-24,4,4,"BBAJIOO.MX, GCC.MX, LABB.MX, RA.MX","GCARSOA1.MX, GFREGIOO.MX, NEMAKA.MX, VOLARA.MX",35,False
2018-09-24,2019-03-19,2,2,"BOLSAA.MX, GCARSOA1.MX","GMXT.MX, LALAB.MX",35,False
2019-03-19,2020-04-27,4,4,"KOFUBL.MX, ORBIA.MX, Q.MX, VESTA.MX","ALPEKA.MX, GCC.MX, KOFL.MX, MEXCHEM.MX",35,True
2020-04-27,2020-12-14,3,2,"GCC.MX, NMKA.MX, SITESB-1.MX","BSMXB.MX, RA.MX",36,True
2020-12-14,2021-03-22,1,2,RA.MX,"GENTERA.MX, NMKA.MX",35,False
2021-03-22,2021-09-20,1,1,VOLARA.MX,IENOVA.MX,35,False
2021-09-20,2022-09-19,1,1,GENTERA.MX,LABB.MX,35,True
2022-09-19,2022-09-23,1,0,LASITEB-1.MX,,36,False
2022-09-23,2023-03-21,2,3,"AMXB.MX, LABB.MX","AMXL.MX, LASITEB-1.MX, SITESB-1.MX",35,False
2023-03-21,2023-09-18,1,1,CHDRAUIB.MX,LIVEPOLC-1.MX,35,False
2023-09-18,2024-03-19,1,1,LIVEPOLC-1.MX,VOLARA.MX,35,False
2024-03-19,2024-09-23,1,1,LACOMERUBC.MX,ELEKTRA.MX,35,False
2024-09-23,2026-03-23,2,2,"SIGMAFA.MX, VOLARA.MX","ALFAA.MX, CUERVO.MX",35,True
