Method,Window,Start,End,Duration_days,Direction,NTL_mean,Magnitude_mean,Magnitude_max
mantegna,120,2016-11-10,2016-12-01,15,integration,1.008021,0.018816,0.035034
mantegna,240,2016-11-10,2016-12-09,21,integration,1.111259,0.012227,0.025293
spearman,120,2016-11-03,2016-12-19,31,integration,1.083014,0.015967,0.029848
spearman,120,2017-01-24,2017-01-24,1,integration,1.084798,0.004327,0.004327
spearman,120,2017-01-26,2017-01-30,3,integration,1.08556,0.002473,0.003187
spearman,240,2016-11-10,2016-11-14,3,integration,1.155027,0.001137,0.001247
spearman,360,2018-04-23,2018-04-26,4,fragmentation,1.204144,0.000515,0.001455
spearman,360,2018-07-23,2018-07-23,1,fragmentation,1.208512,0.00033,0.00033
spearman,360,2018-07-26,2018-08-08,10,fragmentation,1.20959,0.000807,0.001325
spearman,360,2020-11-17,2020-11-25,7,integration,1.094703,0.000448,0.000996
spearman,360,2020-12-01,2021-01-19,34,integration,1.092753,0.002079,0.004037
spearman,360,2021-01-29,2021-02-02,2,integration,1.093082,0.00067,0.000956
spearman,480,2020-03-25,2020-03-25,1,integration,1.136709,0.000353,0.000353
spearman,480,2020-03-27,2020-04-15,12,integration,1.135741,0.001385,0.002457
spearman,480,2020-04-17,2020-04-22,4,integration,1.135828,0.000743,0.001007
spearman,480,2020-04-24,2020-10-26,130,integration,1.12242,0.010793,0.019347
spearman,480,2020-10-28,2021-10-08,239,integration,1.118622,0.00631,0.012547
spearman,480,2021-10-18,2021-10-18,1,integration,1.119252,9.2e-05,9.2e-05
symbolic/strict,120,2016-10-10,2016-12-23,52,integration,0.700655,0.005414,0.01202
symbolic/strict,120,2016-12-28,2017-02-20,38,integration,0.696515,0.004796,0.008457
symbolic/strict,120,2017-02-22,2017-02-23,2,integration,0.698819,0.000366,0.000709
symbolic/strict,120,2020-06-15,2020-06-16,2,integration,0.657659,0.000425,0.000506
symbolic/strict,120,2020-06-19,2020-06-23,3,integration,0.657043,0.000486,0.000671
symbolic/strict,240,2020-11-11,2020-11-19,6,integration,0.691956,0.000574,0.000948
symbolic/strict,240,2020-11-24,2020-11-25,2,integration,0.692059,0.000547,0.000713
symbolic/strict,360,2020-10-28,2021-05-19,138,integration,0.710503,0.001821,0.0038
symbolic/strict,360,2021-05-31,2021-06-07,6,integration,0.711533,0.000261,0.00073
symbolic/strict,360,2021-06-29,2021-06-29,1,integration,0.711682,9.6e-05,9.6e-05
symbolic/strict,480,2017-12-01,2017-12-04,2,fragmentation,0.745897,7.4e-05,0.000133
symbolic/strict,480,2021-01-07,2021-01-07,1,integration,0.723133,4.1e-05,4.1e-05
symbolic/strict,480,2021-01-13,2021-09-07,166,integration,0.720956,0.001508,0.004276
symbolic/strict,480,2021-09-09,2021-09-09,1,integration,0.721025,0.000118,0.000118
symbolic/strict,480,2021-09-20,2021-09-21,2,integration,0.720957,0.000125,0.000173
symbolic/strict,480,2021-09-28,2021-09-28,1,integration,0.720797,0.000105,0.000105
symbolic/inwindow,120,2016-11-09,2016-12-19,27,integration,0.700054,0.003775,0.006814
symbolic/inwindow,120,2017-01-24,2017-01-26,3,integration,0.6979,0.001306,0.001785
symbolic/inwindow,120,2017-01-30,2017-02-09,8,integration,0.697408,0.000924,0.00232
symbolic/inwindow,120,2017-02-13,2017-02-17,5,integration,0.697051,0.001314,0.001989
symbolic/inwindow,120,2017-02-22,2017-02-23,2,integration,0.69631,0.001075,0.001303
symbolic/inwindow,240,2016-11-10,2016-11-10,1,integration,0.732212,0.001021,0.001021
symbolic/inwindow,240,2016-11-14,2016-11-14,1,integration,0.73194,0.000456,0.000456
symbolic/inwindow,240,2017-01-02,2017-01-02,1,integration,0.727473,0.000159,0.000159
symbolic/inwindow,360,2017-04-25,2017-04-25,1,integration,0.736514,0.000293,0.000293
symbolic/inwindow,480,2017-11-29,2017-12-04,4,fragmentation,0.748801,0.000502,0.000977
symbolic/inwindow,480,2020-09-04,2020-09-04,1,integration,0.726467,0.000108,0.000108
symbolic/inwindow,480,2020-09-08,2020-09-17,7,integration,0.725542,0.000759,0.001437
symbolic/inwindow,480,2020-09-21,2020-09-28,6,integration,0.725717,0.000531,0.000684
symbolic/inwindow,480,2020-12-18,2020-12-18,1,integration,0.725216,0.000401,0.000401
symbolic/inwindow,480,2020-12-22,2021-02-17,39,integration,0.72453,0.000955,0.001958
symbolic/inwindow,480,2021-02-22,2021-03-03,8,integration,0.724433,0.000623,0.001422
symbolic/inwindow,480,2021-03-16,2021-03-16,1,integration,0.724659,0.000511,0.000511
symbolic/inwindow,480,2021-03-18,2021-03-25,6,integration,0.724797,0.000419,0.000733
symbolic/inwindow,480,2021-03-29,2021-04-21,16,integration,0.724198,0.000415,0.000737
symbolic/inwindow,480,2021-04-28,2021-04-28,1,integration,0.724319,8e-06,8e-06
symbolic/inwindow,480,2021-04-30,2021-05-03,2,integration,0.723983,0.000334,0.000392
symbolic/inwindow,480,2021-05-19,2021-05-25,5,integration,0.723983,0.000258,0.000479
symbolic/inwindow,480,2021-05-31,2021-05-31,1,integration,0.724464,0.000105,0.000105
symbolic/inwindow,480,2021-06-09,2021-06-17,7,integration,0.724074,0.00042,0.000748
symbolic/inwindow,480,2021-06-22,2021-08-03,31,integration,0.723348,0.000957,0.001796
symbolic/inwindow,480,2021-08-06,2021-08-26,15,integration,0.723299,0.00073,0.001241
symbolic/inwindow,480,2021-08-31,2021-09-01,2,integration,0.723817,0.000149,0.000248
symbolic/inwindow,480,2021-09-03,2021-09-03,1,integration,0.723711,8.6e-05,8.6e-05
symbolic/inwindow,480,2021-09-08,2021-09-10,3,integration,0.723506,0.000257,0.000408
symbolic/inwindow,480,2021-09-21,2021-09-21,1,integration,0.723553,2.3e-05,2.3e-05
