Method,Window,CV_max
mantegna,120,0.05807939167564812
mantegna,240,0.04749458978550606
mantegna,360,0.04388937413102901
mantegna,480,0.03836937466656261
spearman,120,0.044459711972340867
spearman,240,0.030721079099424155
spearman,360,0.027719684980829568
spearman,480,0.023905062177411212
symbolic/strict,120,0.02632574725243189
symbolic/strict,240,0.017736885627088382
symbolic/strict,360,0.013263395798792092
symbolic/strict,480,0.011283250182399018
symbolic/inwindow,120,0.025479789164692197
symbolic/inwindow,240,0.015503124730028434
symbolic/inwindow,360,0.012974460719112589
symbolic/inwindow,480,0.010927670769840471
