Ticker,Coverage,Sector,Included,N_valid_days
AC.MX,1.0,Consumer,True,2766
ALPEKA.MX,1.0,Materials,True,2766
ALSEA.MX,1.0,Consumer,True,2766
AMXB.MX,1.0,Telecom,True,2766
ASURB.MX,1.0,Airports,True,2766
BIMBOA.MX,1.0,Consumer,True,2766
BOLSAA.MX,1.0,Financial,True,2766
CEMEXCPO.MX,1.0,Materials,True,2766
CHDRAUIB.MX,1.0,Consumer,True,2766
GAPB.MX,1.0,Airports,True,2766
FEMSAUBD.MX,1.0,Consumer,True,2766
GCARSOA1.MX,1.0,Conglomerate,True,2766
GCC.MX,1.0,Materials,True,2766
GMEXICOB.MX,1.0,Materials,True,2766
GENTERA.MX,1.0,Financial,True,2766
GFINBURO.MX,1.0,Financial,True,2766
GFNORTEO.MX,1.0,Financial,True,2766
HERDEZ.MX,1.0,Consumer,True,2766
GRUMAB.MX,1.0,Consumer,True,2766
KIMBERA.MX,1.0,Consumer,True,2766
LABB.MX,1.0,Health Care,True,2766
VOLARA.MX,1.0,Transport,True,2766
LIVEPOLC-1.MX,1.0,Retail,True,2766
OMAB.MX,1.0,Airports,True,2766
MEGACPO.MX,1.0,Telecom,True,2766
ORBIA.MX,1.0,Materials,True,2766
PE&OLES.MX,1.0,Materials,True,2766
RA.MX,1.0,Financial,True,2766
PINFRA.MX,1.0,Infrastructure,True,2766
WALMEX.MX,1.0,Consumer,True,2766
VESTA.MX,1.0,Real Estate,True,2766
SIGMAFA.MX,1.0,Consumer,True,2766
TLEVISACPO.MX,1.0,Telecom,True,2766
Q.MX,0.9511930585683297,Financial,True,2631
LACOMERUBC.MX,0.9092552422270427,Consumer,True,2515
BBAJIOO.MX,0.7791033984092552,Financial,False,2155
KOFUBL.MX,0.6117136659436009,Consumer,False,1692
